question,result_text,result_math
"Öğretmen sınıfa, final sınavından en az %75 ortalamayla geçmeleri halinde bir pizza partisi verebileceklerini söyledi. Salı günü sınava girmesine izin verilen William dışında herkes Pazartesi günü sınava girdi. Sınıfta 30 kişi varsa ve sınava girmeden önceki ortalaması %74 ise, pizza partisine gidebilmeleri için kaç puan almaları gerekir?","William'ın sınav öncesi ortalaması %74'tür. Final sınavından alacağı puanla ortalamasının %75 olması için, iki notun ortalaması (74 + x) / 2 = 75 denkleminden x = 76 bulunur.",76.0
"Aaron ve Vanessa bir koşu takımında bayrak yarışı partnerleriydi. Aaron her bir mili Vanessa'dan iki kat daha hızlı koşabildi, ancak Vanessa Aaron'un koştuğu mesafenin iki katını koşabildi. Vanessa 4 mil koştuysa ve Aaron yarışın kendi bölümünü 16 dakikada tamamladıysa, Vanessa kendi bölümünü dakika cinsinden ne kadar sürede tamamlamıştır?","Aaron'un hızı Vanessa'nın hızının 2 katı, Vanessa'nın mesafesi Aaron'un mesafesinin 2 katı. Vanessa 4 mil koştuysa Aaron 2 mil koşar. Aaron 2 mili 16 dakikada koştuğuna göre hızı 2/16=0.125 mil/dakika, Vanessa'nın hızı bunun yarısı yani 0.0625 mil/dakika olur. Vanessa 4 mili bu hızla 4/0.0625=64 dakikada koşar.",64.0
"Alain'in annesi 5 paket kırmızı kalem almış ve kırmızı kalemlerin iki katı kadar da siyah kalem almış. Her pakette 5 kalem varsa, Alain'in kaç kalemi vardır?",Kırmızı kalemler: 5 paket × 5 kalem = 25 kalem. Siyah kalemler: 25'in iki katı = 50 kalem. Toplam: 25 + 50 = 75 kalem.,75.0
"Oxford Lisesi'nde 48 öğretmen, 1 müdür ve her birinde 20 öğrenci bulunan 15 sınıf vardır. Oxford Lisesi'nde toplam kaç kişi vardır?","Öğretmen sayısı 48, müdür sayısı 1, her sınıfta 20 öğrenci olan 15 sınıf olduğuna göre öğrenci sayısı 15 × 20 = 300. Toplam kişi sayısı 48 + 1 + 300 = 349.",349.0
John para toplamak için bir teleton düzenler.  İlk 12 saat boyunca saat başına 5000 dolar toplar.  Kalan 14 saatte ise saat başına %20 daha fazla para kazanıyor.  Toplam ne kadar para kazanıyor?,"İlk 12 saatte saatte 5000 dolar kazanıyor, toplam 12 × 5000 = 60000 dolar. Kalan 14 saatte saatte %20 daha fazla, yani 5000 × 1.20 = 6000 dolar, toplam 14 × 6000 = 84000 dolar. Genel toplam 60000 + 84000 = 144000 dolar.",144000.0
"Wesley'in okul kütüphanesinin rafında defterlerden 50 tane daha fazla kalem vardır. Eğer rafta 30 defter varsa, Wesley'in toplam kaç defteri ve kalemi vardır?",Rafta 30 defter var. Kalem sayısı defterlerden 50 fazla olduğuna göre kalem sayısı 30 + 50 = 80'dir. Toplam defter ve kalem sayısı 30 + 80 = 110'dur.,110.0
"Son tatilimizde, Tim'in palyaço aldığının 4 katı kadar tetras aldım. Tim, Rick'in lepistes aldığının iki katı kadar palyaço aldı. Rick 30 lepistes aldıysa, son tatilimizde kaç hayvan satın aldık?","Rick 30 lepistes aldı. Tim, Rick'in lepisteslerinin iki katı kadar palyaço aldı, yani Tim 30 × 2 = 60 palyaço aldı. Ben, Tim'in palyaçolarının 4 katı kadar tetras aldım, yani 60 × 4 = 240 tetras aldım. Toplam hayvan sayısı: Rick'in 30 lepistes + Tim'in 60 palyaço + benim 240 tetras = 330.",330.0
"Papi Calot patates ekmek için bahçesini hazırladı. Her biri 18 bitkiden oluşan 7 sıra dikmeyi planladı. Ancak hala biraz daha yeri var, bu yüzden 15 patates bitkisi daha eklemeyi düşünüyor. Papi Calot kaç bitki satın almak zorunda?","Papi Calot başlangıçta her biri 18 bitkiden oluşan 7 sıra dikmeyi planlıyor. Bu, 7 × 18 = 126 bitki eder. Daha sonra 15 bitki daha eklemeye karar veriyor, bu nedenle toplam 126 + 15 = 141 bitki satın alması gerekiyor.",141.0
"Joanna'nın 8 doları var. Onun parasıyla karşılaştırıldığında, erkek kardeşinin üç katı, kız kardeşinin ise sadece yarısı kadar parası var. Üçünün toplam ne kadar parası var?",Joanna'nın 8 doları var. Erkek kardeşinin parası Joanna'nın parasının üç katı olduğundan 3 × 8 = 24 dolar. Kız kardeşinin parası Joanna'nın parasının yarısı olduğundan 8 ÷ 2 = 4 dolar. Toplam: 8 + 24 + 4 = 36 dolar.,36.0
"Bernie'nin 18 eşsiz kartpostaldan oluşan bir koleksiyonu var. Koleksiyonunun yarısını kartpostal başına 15 dolardan satmaya karar verdi. Kartpostallarını başarıyla sattıktan sonra, kazandığı tüm parayı tanesi 5 dolardan yeni kartpostallar almak için harcamaya karar verdi. Bernie'nin tüm işlemlerinden sonra kaç kartpostalı vardır?",Bernie'nin 18 kartpostalı var. Yarısını (9 kartpostal) tanesi 15 dolardan satarak 9*15=135 dolar kazanır. Kalan 9 kartpostalı kalır. 135 dolar ile tanesi 5 dolardan 135/5=27 yeni kartpostal alır. Toplam kartpostal sayısı 9+27=36 olur.,36.0
